Memory_ghz_max,Memory_usage_max,state,vibrate,vibrateState
118300,0.080602,-2,0.000756805,0
118290,0.080663,-2,0.000557877,0
118280,0.080708,-2,0.000569956,0
118280,0.080754,-2,0.001560294,0
118270,0.08088,-2,0.000420376,0
118250,0.080914,-2,0.000667375,0
118250,0.080968,-2,0.000358166,0
118240,0.080997,-2,0.002000074,0
118240,0.081159,-2,0.001182863,0
118220,0.081255,-2,0.001932189,0
118630,0.081412,-2,0.001338869,0
118220,0.081521,-2,0.000171735,0
118180,0.081535,-2,0.000404734,0
118190,0.081568,-2,-0.001005296,0
118180,0.081486,-2,0.001386741,0
118180,0.081599,-2,0.000245101,0
118170,0.081619,-2,0.0020951,0
